,ID,foreign,name,Adopsi TIK,Infrastruktur,Kapabilitas Inovasi,Keterampilan,Pasar Tenaga Kerja,Stabilitas Ekonomi,IRBI
0,ID1101,11,KABUPATEN SIMEULUE,3.69,1.37,0.7,3.67,2.74,3.24,162
1,ID1102,11,KABUPATEN ACEH SINGKIL,3.79,2.22,0.67,3.4,2.86,2.97,178
2,ID1103,11,KABUPATEN ACEH SELATAN,3.07,1.66,1.67,3.56,2.85,3.18,171.2
3,ID1104,11,KABUPATEN ACEH TENGGARA,2.79,1.5,1.92,3.72,3.02,3.37,118.31
4,ID1105,11,KABUPATEN ACEH TIMUR,2.85,2.11,0.98,3.16,3.18,2.94,164.56
5,ID1106,11,KABUPATEN ACEH TENGAH,3.45,2.03,2.25,3.86,3.27,3.23,118.95
6,ID1107,11,KABUPATEN ACEH BARAT,3.66,1.64,1.88,3.68,2.95,3.16,185.57
7,ID1108,11,KABUPATEN ACEH BESAR,3.55,2.54,3.34,3.97,3.31,3.28,202.01
8,ID1109,11,KABUPATEN PIDIE,2.97,1.72,2.44,3.51,3.16,3.13,159.02
9,ID1110,11,KABUPATEN BIREUEN,3.77,2.3,2.18,3.65,3.36,3.16,163.23
10,ID1111,11,KABUPATEN ACEH UTARA,3.5,1.87,2.55,3.3,3.6,3.45,165.86
11,ID1112,11,KABUPATEN ACEH BARAT DAYA,3.08,1.66,1.05,3.48,3.15,3.91,183.2
12,ID1113,11,KABUPATEN GAYO LUES,2.46,1.85,0.79,3.34,2.82,3.77,94.63
13,ID1114,11,KABUPATEN ACEH TAMIANG,3.64,2.23,0.9,3.58,2.93,3.09,129.56
14,ID1115,11,KABUPATEN NAGAN RAYA,3.64,2.09,1.24,3.53,2.97,3.34,197.6
15,ID1116,11,KABUPATEN ACEH JAYA,3.18,2.01,0.91,3.49,3.45,3.97,166.09
16,ID1117,11,KABUPATEN BENER MERIAH,3.18,1.7,1.27,3.69,2.95,3.36,112.63
17,ID1118,11,KABUPATEN PIDIE JAYA,3.31,2.18,0.63,3.55,3.72,3.53,137.6
18,ID1171,11,KOTA BANDA ACEH,4.75,3.14,4.48,4.61,3.65,3.13,102.93
19,ID1172,11,KOTA SABANG,4.64,2.59,1.43,4.45,3.21,3.6,113.73
20,ID1173,11,KOTA LANGSA,4.8,2.71,2.69,4.29,3.59,2.97,124.22
21,ID1174,11,KOTA LHOKSEUMAWE,4.47,2.48,3.51,4.21,3.34,2.88,134.83
22,ID1175,11,KOTA SUBULUSSALAM,3.81,2.05,0.98,3.6,3.71,3.05,92.88
23,ID1201,12,KABUPATEN NIAS,3.87,1.48,0.86,3.15,2.74,3.4,211.7
24,ID1202,12,KABUPATEN MANDAILING NATAL,3.31,1.41,1.98,3.49,2.87,2.56,214.8
25,ID1203,12,KABUPATEN TAPANULI SELATAN,3.64,1.88,0.75,3.6,2.6,3.52,152.95
26,ID1204,12,KABUPATEN TAPANULI TENGAH,4.27,2.23,1.55,3.48,2.39,2.63,187.85
27,ID1205,12,KABUPATEN TAPANULI UTARA,4.21,1.97,2.23,4.02,2.81,3.45,118
28,ID1206,12,KABUPATEN TOBA SAMOSIR,4.33,2.02,3.18,4.22,3.11,3.34,107.2
29,ID1207,12,KABUPATEN LABUHAN BATU,4.46,2.26,1.84,3.52,2.91,2.81,151.2
30,ID1208,12,KABUPATEN ASAHAN,4.29,2.21,2.9,3.33,2.66,2.91,146.85
31,ID1209,12,KABUPATEN SIMALUNGUN,4.78,2.92,1.44,3.76,2.83,2.93,80.07
32,ID1210,12,KABUPATEN DAIRI,4.46,2.23,1.25,3.88,3.14,3.41,111.21
33,ID1211,12,KABUPATEN KARO,4.29,2.62,2.8,3.97,2.83,3.35,112.97
34,ID1212,12,KABUPATEN DELI SERDANG,4.54,3.54,3.33,3.91,2.97,3.08,121.26
35,ID1213,12,KABUPATEN LANGKAT,3.84,2.92,2.2,3.41,2.53,2.64,142.62
36,ID1214,12,KABUPATEN NIAS SELATAN,3.15,1.48,1.83,2.73,2.65,3.35,190.52
37,ID1215,12,KABUPATEN HUMBANG HASUNDUTAN,4.34,1.99,0.95,4.02,2.42,3.18,127.66
38,ID1216,12,KABUPATEN PAKPAK BHARAT,4.07,2.03,0.9,3.94,2.77,3.53,101.05
39,ID1217,12,KABUPATEN SAMOSIR,4.58,1.96,1.33,4.1,2.83,3.35,114
40,ID1218,12,KABUPATEN SERDANG BEDAGAI,4.56,3.48,0.98,3.44,2.98,3.1,120.18
41,ID1219,12,KABUPATEN BATU BARA,4.43,3.65,1.28,3.4,2.27,2.88,143.2
42,ID1220,12,KABUPATEN PADANG LAWAS UTARA,3.91,1.63,1.01,3.54,2.67,3.18,137.57
43,ID1221,12,KABUPATEN PADANG LAWAS,4.16,1.81,0.8,3.58,2.54,3.09,152.76
44,ID1222,12,KABUPATEN LABUHAN BATU SELATAN,4.69,1.95,0.38,3.59,2.87,3.16,131.2
45,ID1223,12,KABUPATEN LABUHAN BATU UTARA,4.31,1.96,0.34,3.32,2.98,2.99,155.2
46,ID1224,12,KABUPATEN NIAS UTARA,4.23,1.83,1.05,3.17,2.26,3.38,214
47,ID1225,12,KABUPATEN NIAS BARAT,4.16,1.8,0.93,3.46,2.69,3.53,210.8
48,ID1271,12,KOTA SIBOLGA,5,1.92,1.53,4.06,2.95,2.68,167.2
49,ID1272,12,KOTA TANJUNG BALAI,4.6,3.13,1.65,3.81,2.87,2.79,110.72
50,ID1273,12,KOTA PEMATANG SIANTAR,4.93,3.75,3.19,4.45,3.62,2.52,91.2
51,ID1274,12,KOTA TEBING TINGGI,4.74,3.4,2.35,4.29,3.07,2.87,86.61
52,ID1275,12,KOTA MEDAN,4.81,4.21,4.24,4.22,3.56,3.3,90.05
53,ID1276,12,KOTA BINJAI,4.71,3.7,2.15,4.2,3.41,3.01,103.2
54,ID1277,12,KOTA PADANGSIDIMPUAN,4.75,2.17,3.04,4.22,3.09,2.76,128
55,ID1278,12,KOTA GUNUNGSITOLI,4.44,2.11,1.9,3.52,2.73,3.11,207.67
56,ID1301,13,KABUPATEN KEPULAUAN MENTAWAI,2.27,1.41,1.34,3.38,2.28,3.2,184.08
57,ID1302,13,KABUPATEN PESISIR SELATAN,3.49,2.09,0.93,3.61,3.54,3.06,162.58
58,ID1303,13,KABUPATEN SOLOK,3.26,1.91,1.54,3.38,3.6,2.81,137.2
59,ID1304,13,KABUPATEN SIJUNJUNG,3.75,2.03,0.83,3.57,3.58,3.07,107.2
60,ID1305,13,KABUPATEN TANAH DATAR,4.41,2.45,2.88,3.63,3.33,2.85,125.2
61,ID1306,13,KABUPATEN PADANG PARIAMAN,4.16,3.51,1.18,3.58,3.48,2.98,161.48
62,ID1307,13,KABUPATEN AGAM,4.4,2.05,2.08,3.83,3.45,2.99,204.32
63,ID1308,13,KABUPATEN LIMA PULUH KOTA,3.6,1.86,2.58,3.55,3.12,2.99,119.2
64,ID1309,13,KABUPATEN PASAMAN,3.33,1.61,0.79,3.52,3.2,3.01,177.5
65,ID1310,13,KABUPATEN SOLOK SELATAN,3.44,1.58,0.69,3.58,3.02,3.24,130.03
66,ID1311,13,KABUPATEN DHARMASRAYA,4.38,1.46,1.75,3.61,3.27,2.97,141.5
67,ID1312,13,KABUPATEN PASAMAN BARAT,3.76,1.53,0.75,3.37,3.52,2.87,203.2
68,ID1371,13,KOTA PADANG,4.06,3.05,4.57,4.51,4.12,2.55,166.99
69,ID1372,13,KOTA SOLOK,4.66,2.98,1.55,4.28,3.88,3.21,137.2
70,ID1373,13,KOTA SAWAH LUNTO,4.7,2.97,0.75,4.26,3.79,2.73,107.47
71,ID1374,13,KOTA PADANG PANJANG,5,2.96,3.12,4.55,4.24,3.08,113.2
72,ID1375,13,KOTA BUKITTINGGI,5,2.83,2.94,4.52,3.93,3.41,128.61
73,ID1376,13,KOTA PAYAKUMBUH,4.86,2.3,1.95,4.36,3.88,3.06,104.8
74,ID1377,13,KOTA PARIAMAN,4.77,3.21,2.64,4.33,3.69,2.9,146.81
75,ID1401,14,KABUPATEN KUANTAN SINGINGI,3.95,2.56,1.44,3.47,2.83,3.32,131.2
76,ID1402,14,KABUPATEN INDRAGIRI HULU,3.86,1.82,1.43,3.2,2.9,3.24,122.06
77,ID1403,14,KABUPATEN INDRAGIRI HILIR,3.97,1.72,1.46,2.9,2.99,3.26,168.4
78,ID1404,14,KABUPATEN PELALAWAN,4.04,2.56,0.89,3.42,3.02,3.29,151.41
79,ID1405,14,KABUPATEN S I A K,4.23,2.55,0.27,3.75,3.58,2.93,120.9
80,ID1406,14,KABUPATEN KAMPAR,4.09,2.69,2.16,3.55,3.5,3.15,136.81
81,ID1407,14,KABUPATEN ROKAN HULU,4.2,2.38,1.55,3.23,3.31,2.93,155.2
82,ID1408,14,KABUPATEN BENGKALIS,4.03,2.28,1.85,3.75,3.41,2.88,134.65
83,ID1409,14,KABUPATEN ROKAN HILIR,4.5,2.04,1.31,3.19,3.02,2.88,153.75
84,ID1410,14,KABUPATEN KEPULAUAN MERANTI,3.91,1.94,1.27,3.1,3.08,2.79,146.91
85,ID1471,14,KOTA PEKANBARU,4.9,1.91,4,4.3,3.88,3.99,125.07
86,ID1473,14,KOTA D U M A I,4.14,1.89,2.12,3.93,3.65,3.19,106.6
87,ID1501,15,KABUPATEN KERINCI,3.35,1.92,1.94,3.43,4.3,3.37,140.58
88,ID1502,15,KABUPATEN MERANGIN,3.63,1.93,2.18,3.01,3.26,3.09,166
89,ID1503,15,KABUPATEN SAROLANGUN,3.82,2.57,0.35,3.15,3.69,3.37,136.79
90,ID1504,15,KABUPATEN BATANG HARI,3.75,2.01,1.33,3.27,3.36,3.48,120.4
91,ID1505,15,KABUPATEN MUARO JAMBI,4.08,2.07,3.27,3.41,3.21,3.07,134.32
92,ID1506,15,KABUPATEN TANJUNG JABUNG TIMUR,4.12,2.55,1.09,3.06,2.61,3.54,156.4
93,ID1507,15,KABUPATEN TANJUNG JABUNG BARAT,4.12,2.02,0.48,3.23,2.97,2.99,137.85
94,ID1508,15,KABUPATEN TEBO,3.76,1.62,0.65,3.05,3.23,3.66,131.2
95,ID1509,15,KABUPATEN BUNGO,3.78,2.02,1.76,3.09,3.67,3.14,132.06
96,ID1571,15,KOTA JAMBI,4.94,2.68,3.42,4.29,3.9,2.85,123.24
97,ID1572,15,KOTA SUNGAI PENUH,3.43,2.39,1.95,4.11,4.83,3.24,113.76
98,ID1601,16,KABUPATEN OGAN KOMERING ULU,4.44,2.06,1.77,3.43,2.91,3.55,136.76
99,ID1602,16,KABUPATEN OGAN KOMERING ILIR,3.74,2.24,1.03,2.74,2.55,3.35,141.07
100,ID1603,16,KABUPATEN MUARA ENIM,4.29,2.38,1.93,3.14,2.44,3.45,144.08
101,ID1604,16,KABUPATEN LAHAT,4.2,2.43,1.3,3.43,2.98,3.62,120.98
102,ID1605,16,KABUPATEN MUSI RAWAS,3.94,2.58,0.93,2.85,2.67,3.44,145.52
103,ID1606,16,KABUPATEN MUSI BANYUASIN,4.09,2.4,1.4,2.86,2.45,3.4,111.99
104,ID1607,16,KABUPATEN BANYU ASIN,3.75,1.9,1.1,2.93,2.76,3.58,123.96
105,ID1608,16,KABUPATEN OGAN KOMERING ULU SELATAN,3.54,1.93,1.53,2.9,2.66,3.57,115.97
106,ID1609,16,KABUPATEN OGAN KOMERING ULU TIMUR,4.39,1.88,1.77,2.99,2.85,3.24,122.02
107,ID1610,16,KABUPATEN OGAN ILIR,4.43,2.16,3.64,3.22,2.39,3.37,105.47
108,ID1611,16,KABUPATEN EMPAT LAWANG,3.66,2.69,0.64,2.85,2.64,3.45,151.98
109,ID1612,16,KABUPATEN PENUKAL ABAB LEMATANG ILIR,4.2,2.25,0.88,2.91,2.43,3.41,148.92
110,ID1613,16,KABUPATEN MUSI RAWAS UTARA,3.35,1.83,0.65,2.81,2.69,3.16,148.8
111,ID1671,16,KOTA PALEMBANG,4.86,2.8,3.96,3.94,3.58,3.25,131.6
112,ID1672,16,KOTA PRABUMULIH,4.86,2.77,1.78,3.78,3.02,2.99,132.4
113,ID1673,16,KOTA PAGAR ALAM,3.93,2.17,1.92,3.58,3.59,3.09,125.17
114,ID1674,16,KOTA LUBUKLINGGAU,4.61,2.38,1.91,3.69,3.39,2.67,124.44
115,ID1701,17,KABUPATEN BENGKULU SELATAN,4.18,2.38,1.08,3.99,3.97,3.22,165.18
116,ID1702,17,KABUPATEN REJANG LEBONG,3.99,2.39,1.49,3.44,4.48,3.32,97.92
117,ID1703,17,KABUPATEN BENGKULU UTARA,3.77,2.51,1.24,3.33,3.6,3.29,189.19
118,ID1704,17,KABUPATEN KAUR,3.29,2.02,0.92,3.36,4.1,3.84,192.16
119,ID1705,17,KABUPATEN SELUMA,3.78,1.93,0.84,3.15,3.56,3.62,163.04
120,ID1706,17,KABUPATEN MUKOMUKO,3.53,1.73,0.17,3.22,3.22,3.68,164.32
121,ID1707,17,KABUPATEN LEBONG,3.1,2.05,2.01,3.36,3.66,3.71,106.49
122,ID1708,17,KABUPATEN KEPAHIANG,4.05,2.49,0.64,3.41,4.07,3.41,101.31
